,0
0,-5303.801777360262
1,1499.0104374282528
2,-1804.8833590007853
3,90.93975414708257
4,-2350.1974227677565
5,-5593.699199331924
6,-9599.60635817796
7,10944.959601321258
8,-4900.313437988516
9,-20373.651437263703
10,7717.8555208293255
11,-1606.0231589679606
12,12034.53655539942
13,9461.504847341683
14,-965.704603567021
15,4890.1833072663285
16,1866.9366352073848
17,-8787.74280625768
18,-1277.784881386906
19,10.213218796532601
20,-810.6604603626765
21,981.9074248883408
22,1246.8310308253858
23,-464.8297639663797
24,0.0
25,0.0
26,-245.2525011857506
27,-164.52959730220027
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,392.9809001258109
34,800.2362475320697
35,-250.96957979211584
36,-216.28408095426857
37,-2275.323793687392
38,-2258.4810948334634
39,4189.461732180091
40,-613.4209380117245
41,-912.9213027735241
42,-713.1340943507385
43,1615.7286359420978
44,1887.960933455499
45,6698.524020879995
46,-2857.3169428133406
47,6306.422880392754
48,5368.039357716683
49,-2264.3267151226755
50,-1094.056781233754
51,12031.153414888075
52,-5761.4231074762065
53,-7429.487107300665
54,-3444.6101678959094
55,-5616.525000464404
56,1204.0129818844143
57,-2793.0065731431823
58,9594.493849120103
59,-5024.500154535985
60,822.6909538821783
61,12102.445563817397
