,0
0,1000000.0
1,1000242.0624150034
2,1001347.602038785
3,1002577.0750383243
4,1002332.1491799544
5,997030.9119521473
6,1000976.9580901295
7,997777.1003014003
8,995734.285043401
9,999183.8327130071
10,999396.0546175926
11,1006497.386403156
12,1003263.3981467253
13,998574.5277408026
14,998721.5797973464
15,1000330.1525672092
16,1000538.8491152229
17,994179.8682989259
18,1003017.6504533874
19,1014353.921520197
20,1014044.9241590225
21,1018416.9581981576
22,1020361.5608836139
23,1022011.374151501
24,1024116.5263810921
25,1025326.4195043626
26,1035112.3255243084
27,1041285.4456669786
28,1034890.221630171
29,1042529.5613929257
30,1041168.3606346806
31,1043030.1131928199
32,1036629.1177859611
33,1036803.0435755515
34,1040332.4452051253
35,1045441.3501576202
36,1038114.1709113567
37,1043061.919460035
38,1028564.5183543015
39,1039450.349870432
40,1033635.0045417589
41,1020177.55854432
42,1024806.2239182872
43,1043539.3597957961
44,1042042.6894043855
45,1035337.1520288642
46,1026130.9844841463
47,1041790.0048479239
48,1037812.1133454699
49,1047193.5573941701
50,1054449.9391021505
51,1039909.0163428256
52,1013450.7059678672
53,1020992.3323716733
54,1005035.3373188326
55,1010816.9754699194
56,1024764.657023376
57,1033530.3446958214
58,1028674.0815575477
59,1031763.193924668
60,1026651.5615553393
61,1032841.9342738065
62,1045746.1580058142
63,1050755.811248899
64,1059348.416453212
65,1059874.5253269891
66,1070019.6251180072
67,1063393.5199032126
68,1069598.8504616707
69,1063343.5466479526
70,1065841.4347524275
71,1077645.801533947
72,1081940.2782640005
73,1081194.1426020195
74,1083872.2307296155
75,1078738.254475136
76,1079478.78697679
77,1078205.2752918266
78,1072952.7411114944
79,1075448.6007254675
80,1075822.7777547357
81,1084281.604778936
82,1083765.1066944143
83,1080541.722240955
84,1077965.8619535598
85,1076914.5144144662
86,1080001.90634731
87,1074268.5075081626
88,1069672.3438878388
89,1073466.5271127375
90,1062535.6401450965
91,1049081.0471312837
92,1049694.5805886847
93,1048560.3265016641
94,1047318.6377854153
95,1036985.4229696878
96,1046913.6537499196
97,1048731.3587712755
98,1045395.8113256473
99,1032437.4094215028
100,1039357.5655720412
101,1039759.6636403229
102,1038300.9937025189
103,1039895.545902827
104,1049660.7730026671
105,1049617.3210476863
106,1048362.950288324
107,1060656.548141768
108,1065257.4088891335
109,1075644.9661391934
110,1072576.1149120177
111,1079302.0912080316
112,1092879.4484363962
113,1099299.7813808154
114,1110194.6912839895
115,1111473.2579077526
116,1097609.1785923515
117,1099650.8716289022
118,1100040.2123982026
119,1095187.5175720288
120,1099190.325551708
121,1095965.5256784002
122,1085749.5488506113
123,1087417.2181200776
124,1086014.2965442643
125,1075298.1909405997
126,1085947.2647233538
127,1080127.1765471087
128,1070321.1841886197
129,1068518.7934937894
130,1089604.1531399302
131,1096077.0869140357
132,1104582.5976367767
133,1092307.5349190545
134,1103893.575027239
135,1115736.550541568
136,1117642.1530974861
137,1115396.9924834662
138,1123231.7373450694
139,1134152.9841741212
140,1137979.6941509906
141,1144176.3608891745
142,1145077.0357431031
143,1149365.9939140542
144,1146414.6873451434
145,1154801.9806156156
146,1161114.5071742225
147,1171633.0509445262
148,1171995.6825072295
149,1180667.7303998994
150,1169279.04146689
151,1182616.7475327174
152,1181470.8054308442
153,1181559.7422832714
154,1184067.8395998206
155,1195317.7970290387
156,1206461.912936499
157,1212598.1391444027
158,1209407.610731523
159,1194279.3524537736
160,1199789.1742580205
161,1209675.5990898304
162,1205403.8300143904
163,1208561.1551525327
164,1211608.671523624
165,1209488.2986461355
166,1186781.8956490583
167,1182755.5793690463
168,1182316.1642613309
169,1183509.0143586413
170,1202030.5142395648
171,1201989.526827662
172,1195431.4357355628
173,1183783.2501106076
174,1188392.00990706
175,1189048.1241969364
176,1204060.2113475364
177,1218301.1666184254
178,1248184.5003236784
179,1249349.448132262
180,1249860.979901068
181,1248862.9745009847
182,1253629.427673046
183,1268929.0997200895
184,1273530.7427286794
185,1266860.3083819838
186,1275309.743435621
187,1260124.5387855656
188,1261807.137145907
189,1260626.2168442616
190,1270964.857218196
191,1265645.4385986072
192,1262193.9111701506
193,1264482.834250649
194,1246968.9438896643
195,1259562.6697890745
196,1262882.467044762
197,1261857.6593508397
198,1259722.3461880954
199,1257116.7119104513
200,1255865.7769240155
201,1239771.6686354072
202,1205355.9503723122
203,1201335.8008585607
204,1206778.4296547228
205,1195336.2889831546
206,1176355.9112698876
207,1166240.9073493832
208,1135564.5961474464
209,1145722.9839148019
210,1145376.1527299266
211,1154609.3464931333
212,1170487.3337120565
213,1163266.1795359459
214,1179149.6957579472
215,1174952.0515793522
216,1177454.9877468399
217,1199736.326963338
218,1197961.444699649
219,1189404.4972752056
220,1201815.725679498
221,1198679.4700475933
222,1209917.8036207163
223,1209044.1669120607
224,1206026.3160294553
225,1215056.8785342518
226,1219338.797480631
227,1204052.1879586712
228,1213968.5314601723
229,1203960.0806940328
230,1204895.9013713873
231,1210327.0623728153
232,1208183.6062074138
233,1195578.9972592627
234,1194960.4314793262
235,1181185.7717990405
236,1177869.256659417
237,1195048.1899105078
238,1197902.796564891
239,1184417.7856650208
240,1195604.525950423
241,1195645.1889043672
242,1195451.87677335
