,0
0,-1135.609350956045
1,463.84799190890044
2,-143.96315240394324
3,-419.1833346672356
4,4683.034697850235
5,139.13292796816677
6,3347.283271841239
7,-634.9249535435811
8,-3910.5224808591884
9,4926.653624640079
10,-1735.5891450969502
11,-1308.9476002571173
12,-4464.168533794815
13,6213.342749282485
14,13232.664990262827
15,2971.1647075924557
16,-1283.066124860663
17,353.75162253086455
18,188.7358982434962
19,1843.7694546603598
20,-164.6852473660838
21,441.7351987569127
22,859.2753672958352
23,-1827.615296000149
24,-1749.5860590804368
25,-8688.530346401734
26,1145.360775822308
27,7195.814572952455
28,1925.4970803535543
29,771.8932857471518
30,-14995.018821533304
31,-4058.2310613403097
32,1508.015017875703
33,13144.91819408536
34,-5377.142307111062
35,-187.0577874216251
36,-368.76249487814493
37,1895.5698935233522
38,5269.670806156937
39,1358.6472485859413
40,4223.063920261571
41,3178.66109894705
42,-14393.412110998062
43,-1082.0849205015693
44,-50.634662421187386
45,-612.7811841089278
46,18448.24361825292
47,3286.8425025295
48,1737.626436010003
49,2423.521977012744
50,8042.157343521481
51,6436.017737354618
52,3687.2828734137584
53,215.3355327148456
54,-5218.762323701289
55,-1789.4219067092054
56,-4418.992309451336
57,2058.011590464739
58,5134.82911065151
59,-1040.9807977285236
60,2908.6825235122815
61,5138.703238221351
