,0
0,-19817.816859550774
1,1621.8628740799613
2,18713.400677031605
3,-9925.193715362111
4,14452.820316123776
5,-7160.552769080969
6,10574.650296478067
7,8749.718840566231
8,7795.0314483647235
9,-2558.562048820313
10,-1171.3495221424382
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,47.857448127586395
29,-144.57372847851366
30,48.489860377507284
31,3444.0317870101426
32,-4412.366756435949
33,1196.954031109577
34,-2861.1568262828514
35,-1766.8704628662672
36,-17148.137046977645
37,12079.326506722951
38,-12721.692892857594
39,14066.912000117125
40,11079.984922767151
41,-1013.9957741277758
42,21455.61232825322
43,3056.727071553003
44,5225.288630793104
45,4121.329462376423
46,-55.58743366994895
47,-6694.852053998737
48,-1760.1849735262804
49,-6352.1890810986515
50,-3294.233185098972
51,-16399.38779145386
52,-238.0779644770082
53,-5655.822964417981
54,-2383.941602213308
55,-18576.03374309279
56,22.362013751175255
57,-11436.905032504583
58,8647.755465197144
59,-4423.808300032979
60,-1370.8279803679325
61,0.0
