,0
0,373.2657645852305
1,3397.616286792094
2,-1194.264844960766
3,-1815.176645675907
4,4490.14492142736
5,722.9770534480922
6,-2920.955098667415
7,401.7176342380699
8,10155.373615474207
9,5374.733347341418
10,8777.260710192611
11,726.106804207433
12,10819.621595956618
13,-296.96608066977933
14,16895.176922895946
15,-1172.2299464119133
16,-1575.7808550891932
17,6895.509298589313
18,-7635.043913803063
19,1202.9689868751448
20,3736.1722721895203
21,7798.663270861376
22,-322.6466480451636
23,-5497.361966300523
24,-3034.988119542366
25,-1409.4656388151925
26,-1774.440037773922
27,-653.5639749267139
28,-247.05426401877776
29,-4273.656055468833
30,-7220.512702248292
31,8949.093344516587
32,-5857.738796273246
33,4319.744371613255
34,7988.873618298676
35,-6607.458065771032
36,334.33099362882785
37,1883.353007314261
38,17145.627780966926
39,11298.435959904687
40,21419.477655906463
41,-1269.573061506264
42,-3417.325807064073
43,-8554.163297259714
44,-3571.2114986777306
45,3813.5304450758267
46,4542.083808502415
47,1802.4459161071572
48,4251.071765524801
49,6071.76015496254
50,-7486.040568544297
51,7137.412518988829
52,10940.205820379779
53,-4679.982626726851
54,-2021.7290729370434
55,3771.136442128569
56,-3399.169425390428
57,-5883.217621169519
58,918.7400501964148
59,3803.541931020329
60,-8226.551748077618
61,7253.964087098138
