,0
0,416.7364454478957
1,2019.8253631654661
2,1945.4060661501717
3,-3290.2197910218965
4,3836.7679724479094
5,1439.2631043493748
6,-77.21116255759262
7,285.4184578906279
8,1802.304634245811
9,-6125.73644943838
10,862.0417976658791
11,242.54345547454432
12,4297.2600475347135
13,7977.546040107263
14,-172.26632991293445
15,-4790.124560026918
16,-7486.450428261189
17,526.2102105473168
18,-4204.961403256515
19,-1307.2828767304309
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,-97.36294530984014
35,864.6369014438242
36,2478.2441590714734
37,224.16983785876073
38,938.0093430662528
39,-2651.0280674234964
40,-475.8513933266513
41,0.0
42,-138.0983088936191
43,1177.861912889406
44,-1568.8474494635593
45,-2865.364993073512
46,1717.4151286683045
47,-372.17411677818745
48,0.0
49,0.0
50,0.0
51,1133.7305722383317
52,-181.59311434603296
53,1429.3341128432658
54,443.4433001121506
55,-3297.9023656195495
56,-2038.3053031580057
57,-1225.0440496630035
58,1626.5011759598274
59,-704.5333654712886
60,0.0
61,0.0
