,0
0,1000000.0
1,1000265.6501380289
2,1001467.0574326485
3,1002274.4185345076
4,1001609.3770767536
5,996222.4520272138
6,998261.9779959855
7,994925.2782795953
8,991978.3887814025
9,992116.5035999514
10,992534.9253415742
11,998288.001288044
12,999721.187875924
13,1001100.0042496423
14,1002448.1170759355
15,1006233.3259489473
16,1008048.1818891254
17,1000543.3162314727
18,1005181.7513149346
19,1010401.8697115995
20,1012596.6931428482
21,1015886.886225573
22,1017547.4014637073
23,1014003.7760000164
24,1015261.0263253296
25,1015357.7832109488
26,1021544.237999547
27,1023529.6738338419
28,1021647.9976064055
29,1029808.0493339454
30,1030685.427077173
31,1032608.0147647652
32,1028277.6045435633
33,1028926.7384029201
34,1031745.8453540914
35,1036206.1257308454
36,1032648.3041894697
37,1040034.7755287254
38,1026301.2808051471
39,1035312.7739994708
40,1028958.626765118
41,1015141.0726108489
42,1021263.3219818576
43,1038244.8367902376
44,1039289.4178036179
45,1031378.3644575075
46,1021377.9283674599
47,1033216.3143942642
48,1023692.2940371803
49,1031913.5515139826
50,1041871.5604428005
51,1025573.4518336017
52,1002523.0854676274
53,1004448.0480544977
54,991089.3803331092
55,996954.8423401642
56,1006584.5878081562
57,1016757.1222611842
58,1012907.9334001163
59,1022411.2641567874
60,1019718.2009682963
61,1025058.876026837
62,1034674.5458777122
63,1039205.034179992
64,1046771.8794818894
65,1044352.3111936375
66,1056848.9597537438
67,1047102.6676310966
68,1054241.2407893403
69,1051798.5522739037
70,1047905.8660750575
71,1060381.3660365948
72,1057681.4923608778
73,1061795.7775144775
74,1060069.6416921439
75,1072991.037949767
76,1071982.629342495
77,1068586.4887349552
78,1071295.9305048422
79,1075661.758934845
80,1072713.752548048
81,1085701.2315976024
82,1090320.4887026
83,1096615.464191142
84,1091448.0009743816
85,1086839.0550776478
86,1085310.1592604602
87,1076376.05252333
88,1081260.6904465589
89,1106131.3609880044
90,1104007.5079931766
91,1092620.3994230705
92,1097938.1239669672
93,1101402.750172563
94,1098402.1596705234
95,1093163.390508929
96,1098639.1223304998
97,1099272.9857114025
98,1099372.8560246693
99,1075019.0176927946
100,1077023.7687012944
101,1084356.618850813
102,1075969.2794619196
103,1083453.8277515105
104,1099131.0642691648
105,1100405.5055573846
106,1101187.5723368195
107,1112004.7352629597
108,1109121.7179957714
109,1091745.209237225
110,1094530.32425018
111,1091665.6363038803
112,1092383.319451796
113,1100318.132364709
114,1109581.8680874805
115,1110134.5148287443
116,1099532.4548300982
117,1120139.7036269482
118,1120695.9320359204
119,1114084.7137441097
120,1121470.3671474375
121,1116083.2282935823
122,1105431.4103671012
123,1119646.5977397375
124,1118346.3022747135
125,1105909.8484651234
126,1112659.961636019
127,1109266.2407824327
128,1095746.5128452762
129,1098281.805335939
130,1125289.8449526208
131,1128608.3523191744
132,1137521.1913584247
133,1132599.7786242815
134,1147625.6325210212
135,1152965.0055024817
136,1151068.939201229
137,1158505.6996899727
138,1161021.666398141
139,1174947.105175477
140,1180365.3684151883
141,1183326.99221704
142,1182679.3058247515
143,1175073.9948234253
144,1181172.2642028984
145,1177209.88217851
146,1182939.204250004
147,1188404.4323426934
148,1187946.8158302014
149,1187724.0986507654
150,1172131.4298197168
151,1190669.415825819
152,1186737.4101283092
153,1184761.8269007518
154,1190965.5579115788
155,1204244.9201984026
156,1206960.1006598985
157,1205011.8338629142
158,1203898.9223450152
159,1191440.7491617363
160,1205931.3156084567
161,1212820.2286682432
162,1213662.2784650223
163,1227833.3170763832
164,1240757.9705597307
165,1249957.0036159332
166,1242870.1844487488
167,1250401.9095078628
168,1248178.1323698869
169,1249083.7633306535
170,1251532.8986191992
171,1257537.141227335
172,1254966.423432741
173,1239792.399562106
174,1235688.7578994045
175,1230626.765163968
176,1238959.2562023674
177,1236008.1365745508
178,1241552.6777550776
179,1235675.1766534753
180,1248581.4557818181
181,1273836.3151541979
182,1272461.6670037014
183,1273909.25508152
184,1267573.132701109
185,1261146.3551836282
186,1273166.125205057
187,1260533.1241037857
188,1252707.9722996184
189,1255047.6217281723
190,1259425.614998029
191,1261767.464277997
192,1257101.4328488347
193,1248330.1136763617
194,1242598.5982013748
195,1252584.6008611794
196,1271510.2254908476
197,1260393.5126507941
198,1252208.4091845253
199,1263765.8338687995
200,1271937.2819674828
201,1265279.3472404913
202,1236248.806594234
203,1239348.4241452466
204,1196681.5279114207
205,1174859.310099481
206,1175532.211483494
207,1168620.568020406
208,1155816.740503072
209,1164374.5929355207
210,1167895.9868898853
211,1175650.343541112
212,1194350.7632683367
213,1203069.7058533458
214,1218844.663956121
215,1215632.6203878243
216,1229760.6455619705
217,1236908.984067186
218,1241052.771513962
219,1225696.0265207244
220,1221333.4759408974
221,1213354.5012154002
222,1226556.6891097105
223,1213299.2297512363
224,1209161.2567902557
225,1224288.2383005673
226,1228806.2623837658
227,1225436.8765634329
228,1241762.7327334716
229,1240691.4753601525
230,1241989.6728613286
231,1241921.059125151
