,0
0,941.1869035370182
1,-2496.5289228002075
2,526.3774485908216
3,-445.3701229322469
4,2444.700629388215
5,1788.0585981146432
6,178.10271419445053
7,-457.92251282557845
8,1585.1689159350935
9,2275.2906840837095
10,-121.54362529318314
11,-1410.041004845174
12,950.4261346703861
13,-435.0197780635208
14,1430.17911106057
15,-111.90515731787309
16,-1505.7647331260378
17,-1044.1261720516486
18,1251.51859391178
19,-2508.7061027461896
20,-1583.6761795016937
21,-1130.3446013530483
22,1040.647611364955
23,-730.1916900058277
24,3643.9655334039126
25,-3653.4319794070907
26,1665.7306327638216
27,-4187.489218922332
28,3820.9116940381937
29,-3155.9601728144335
30,-2508.750787417288
31,-281.88625708641484
32,1727.9475760003552
33,803.5507082354743
34,4505.813052933314
35,1575.4620705719572
36,-2100.7253771281103
37,1367.4202579646371
38,-2676.462333778618
39,735.2692635264248
40,1811.7044063734356
41,1501.5997928652214
42,2127.2493332043523
43,30.620547830709256
44,1606.7689698160393
45,140.07668548775837
46,-975.9302742891014
47,-2210.449456579867
48,-771.4183399664471
49,-1617.9351745501626
50,1904.4275187818566
51,-594.1003688239725
52,2500.237483550096
53,595.7055211213883
54,-1259.8011955074035
55,3665.0206116837217
56,-12683.731907409965
57,-5520.898986453307
58,4437.347797804396
59,7355.245468416251
60,5291.172259876155
61,233.75018923485186
