,0
0,12110.337429436855
1,9344.011671169428
2,-1153.5910488220397
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,-2118.9534408533946
51,442.9306882710662
52,502.57276064692996
53,-2206.3086991400924
54,-1124.999560588738
55,2166.8066236232407
56,-1482.5859026825055
57,0.08607259695418179
58,1637.2236292127054
59,-3457.526385708479
60,1759.5405446828809
61,1673.8060372238979
