,0
0,1000000.0
1,999994.3270904539
2,1000922.7264272566
3,1001559.8698585926
4,1000618.1494191458
5,995024.4935509649
6,997240.6809647495
7,992162.2300496101
8,990444.7047186706
9,992770.2320502142
10,993607.169138565
11,997416.3552706738
12,995892.849476694
13,997862.0025275758
14,999079.657886814
15,1004255.2559274834
16,1005699.7688104408
17,998752.0158815007
18,1005078.887468985
19,1011301.8695004475
20,1011106.3167165028
21,1014439.8104622816
22,1016750.2059781767
23,1015307.209434535
24,1017541.2315318857
25,1017065.7130433774
26,1025722.9946464513
27,1025310.5396408007
28,1024858.4400243043
29,1035282.4090816072
30,1034167.6619104296
31,1040689.3389886008
32,1032652.3681906308
33,1031958.5112112173
34,1035101.4970915985
35,1041290.9829197985
36,1032904.6218896176
37,1035596.8086202815
38,1019502.7379213837
39,1030656.3981527145
40,1024374.5722539275
41,1012173.8218760844
42,1012237.3147479019
43,1024553.1674084134
44,1026444.1772481904
45,1017524.0915522695
46,1007962.8006687479
47,1021961.0166955236
48,1014565.959399777
49,1023014.8578376662
50,1028558.9178441233
51,1015970.181994939
52,992189.0328101395
53,998422.7854982564
54,985612.8611341313
55,986631.5382217354
56,995996.9456809724
57,1001111.0661805762
58,996168.0104347095
59,1001604.549632591
60,1001191.5496287127
61,1003299.0980172532
62,1013771.6088875573
63,1020073.1406694108
64,1032440.4914656072
65,1032284.7349129864
66,1043011.3397465243
67,1045763.0836677315
68,1047870.5570965197
69,1043818.5789888172
70,1046878.2475624036
71,1053443.1973773504
72,1061026.2447119353
73,1061525.9082215326
74,1065707.1031289888
75,1061218.150566608
76,1065465.165029386
77,1064749.0645321792
78,1058948.6768179683
79,1058072.0286338995
80,1058351.294659048
81,1067825.3122979421
82,1063973.2546152882
83,1059762.9195390516
84,1053108.1415079513
85,1052909.0323077177
86,1053681.222140411
87,1047633.095548832
88,1046771.3865814588
89,1051476.183109125
90,1044908.4106326308
91,1027206.0322571946
92,1024140.9450558624
93,1018502.9892493826
94,1016874.2094769869
95,1011071.5450477218
96,1016981.1327124618
97,1020569.6235743581
98,1014359.854743461
99,1005116.4638337728
100,1016533.2236156935
101,1011893.1261028699
102,1011343.7063279068
103,1016762.7974363747
104,1022124.0194066218
105,1024171.6031029221
106,1021764.2572313905
107,1030799.0577522299
108,1039551.7494575066
109,1047540.2684419766
110,1048402.4528725137
111,1052343.6972120316
112,1057671.0093187222
113,1059644.7990058926
114,1070671.1635841972
115,1068347.7975317738
116,1061382.480249323
