,0
0,-2391.4479437358677
1,5057.555315773701
2,-758.0505899994168
3,-923.1445944907609
4,7883.145906638587
5,-14216.592834455892
6,-208.31994740385562
7,-5232.1376638289075
8,1381.3442008101847
9,-2108.76898650988
10,24019.35874548857
11,2480.924035363365
12,1471.6593032875098
13,818.9962445416022
14,2977.7932516513392
15,-3711.208541595144
16,-4328.940691054333
17,571.2287231357768
18,-6270.686590558849
19,-96.07683701976202
20,-9401.312498192303
21,-3092.9820340594742
22,-3416.450330740772
23,-3668.1936436698306
24,24103.06906585046
25,3577.3522077766247
26,948.1865303008817
27,7718.656466698507
28,6515.432338390499
29,6898.674389945343
30,3804.6180113081355
31,105.5913259871304
32,-840.5322023809422
33,-4734.299213060876
34,6010.371282191016
35,4915.958206712967
36,3740.4501339150593
37,1921.521492627915
38,-3687.183177876286
39,11112.879242360359
40,2863.487719535362
41,12358.727450200822
42,-2301.196662272094
43,94.25827405857854
44,2256.5141442453023
45,15647.22636844311
46,4675.561176368501
47,9982.256225724006
48,1099.715592386201
49,3572.7221418605186
50,-6854.523889941629
51,5585.570187514415
52,4668.809157829732
53,422.8275194943417
54,3716.0758461726364
55,-1726.922056514537
56,-344.9719321054872
57,3985.472645775648
58,-213.89699295605533
59,-7480.13620869047
60,-2118.6278551050927
61,-2627.668238712242
