,0
0,-396.90967883868143
1,2049.738192233257
2,12074.738497929182
3,-817.1676455377601
4,0.0
5,0.0
6,0.0
7,36.3695787996985
8,39.011618783231825
9,142.85513613931835
10,17.884962972952053
11,197.00625854893588
12,-36.13118769135326
13,0.0
14,0.0
15,0.0
16,0.0
17,-222.90629830677062
18,-31.56922232476063
19,-2400.0750171698164
20,163.65890571149066
21,-53.19227596838027
22,-86.31774898362346
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
