,0
0,-11.387750279391184
1,1718.2334302386735
2,1370.7307631713338
3,-315.40622059069574
4,0.0
5,0.0
6,0.0
7,57.771345872897655
8,1283.5006592127029
9,-719.0354536119848
10,1786.2464990576264
11,-4222.2812499227
12,-447.53692557266913
13,0.0
14,0.0
15,0.0
16,0.0
17,-1972.0076175739523
18,-116.38264142116532
19,-1884.9225698078517
20,1019.8604294683319
21,156.3452824940905
22,-159.48086675768718
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
