,0
0,1000000.0
1,1000078.8398539225
2,1000956.5028051871
3,1001773.8885649533
4,1001559.9499031209
5,997451.7431577421
6,999612.5072659057
7,996627.9360454339
8,994601.3941827611
9,994208.6189385331
10,994400.2612151509
11,997525.559109166
12,996070.3174162728
13,997312.0815572005
14,997503.5520988756
15,1001494.0635059671
16,1002962.3569786268
17,996854.4641236195
18,1001617.7928250805
19,1007679.4536420197
20,1007933.989145569
21,1012131.2719164512
22,1015185.9808576552
23,1012597.5933678815
24,1013090.432816388
25,1012398.1422510114
26,1016988.4929000407
27,1020547.7901413022
28,1019089.4716272848
29,1025130.2853547792
30,1023207.6136114511
31,1026335.2400420841
32,1022412.1479579309
33,1019652.9885248495
34,1020857.6287719376
35,1025898.7078665493
36,1018940.4495161775
37,1020136.6444060733
38,1006679.9621971332
39,1015664.3742923787
40,1011738.0316903815
41,996415.1994863141
42,1002814.3202150634
43,1015964.0858442851
44,1017025.6292215677
45,1008121.8094953854
46,999704.5407909276
47,1013275.4064452171
48,1004624.6495419042
49,1010756.0435352122
50,1018768.4296012209
51,1006009.7115052398
52,982803.4321905149
53,984677.2914018212
54,974783.8568439577
55,980227.2467493968
56,986398.1112210633
57,992293.921935958
58,984061.768651234
59,988210.6801791842
60,986869.4627708135
61,990737.1879598321
62,999511.5151245707
63,1003479.2548414177
64,1005895.8859610228
65,1005248.3713811105
66,1014483.5681112766
67,1015847.552124643
68,1019240.4622633457
69,1014858.6625284201
70,1014943.1600845987
71,1021478.5353027014
72,1018010.3536429844
73,1018875.0313708021
74,1019367.1562726961
75,1019548.7328870046
76,1022384.5853232926
77,1021584.4071524953
78,1018962.2696017384
79,1018625.965010922
80,1014217.177582465
81,1021378.2700341886
82,1022719.4922490736
83,1021450.4565770891
84,1013327.856959067
85,1009022.2114877822
86,1009951.5474839532
87,1006461.0313430193
88,1006181.1697905572
89,1009573.2533489014
90,1003472.5865095302
91,991344.066180484
92,989480.0617921461
93,984730.5740868358
94,984284.0572651757
95,978710.6412504504
96,983667.3599256619
97,985676.8906763248
98,981879.3565362941
99,967559.4272805579
100,969926.3419368033
101,971417.9745099454
102,967895.0571887421
103,972837.4432329544
104,979064.6192633809
105,981124.0963162667
106,980228.2879754868
107,990225.3951966381
108,1000672.2162387439
109,1005716.0162324257
110,1004376.6078682296
111,1009062.3152931083
112,1011897.8675900046
113,1014096.0565621046
114,1026215.8386664509
115,1023567.0906801203
116,1010818.333206834
117,1010776.7176503114
118,1005773.9295983303
119,1003813.1247261373
120,1006704.3366164786
121,998091.1793450372
122,989528.5937301961
123,994595.6053933334
124,990575.9711656338
125,981926.564135338
126,986544.5727140615
127,977223.5343819814
128,964972.1981581016
129,969691.2863487628
130,988435.4111999125
131,996934.3360316014
132,1002290.781841993
133,994046.3305346187
134,1006289.4494107941
135,999611.5007404656
136,1001345.0122526346
137,1001863.8152482193
138,1008537.6998384448
139,1003828.9530969252
140,1010608.6168807605
141,1014203.3223567413
142,1013859.2999995054
143,1021201.2932186386
144,1016932.9859858374
145,1012445.0634263104
