,0
0,1000000.0
1,1000091.9935921347
2,1001004.0410706318
3,1001534.1523055796
4,1000875.9298831407
5,997573.2044841764
6,998664.5277019525
7,995500.6243361826
8,993423.2305452093
9,994744.7763813366
10,995852.5792025828
11,999556.1006944708
12,997467.6246808785
13,1000829.5009071216
14,1000025.5193684634
15,1003994.7878381449
16,1004624.647932328
17,997523.5993467642
18,1001538.994112577
19,1007235.3577851923
20,1007142.0638896103
21,1011119.1918796266
22,1012369.4406047009
23,1011168.0040795734
24,1011081.837221781
25,1010503.9608257345
26,1018088.5980498985
27,1021933.2200562665
28,1019840.5034192413
29,1031382.6234285439
30,1030341.8606035387
31,1035325.5289169243
32,1028758.8942115109
33,1025068.7990110752
34,1026751.7829665712
35,1032762.7170436168
36,1028835.8418954172
37,1032358.127146775
38,1019743.0512055364
39,1027082.1422017368
40,1020302.5741429387
41,1004895.1656590044
42,1011445.0339334223
43,1025808.3841050172
44,1025448.0530511289
45,1016176.5273599024
46,1006555.5930325909
47,1020660.5649552328
48,1011032.0797034029
49,1017675.5682898221
50,1027217.7480281778
51,1012955.104240903
52,988144.1010402306
53,986038.7662756114
54,975438.0297725104
55,982261.7344975927
56,988231.4397803089
57,995269.5038457606
58,986194.4195737371
59,991256.1095403187
60,989438.7371407141
61,992844.6913289718
62,1003923.1477898317
63,1009336.1361685104
64,1014625.0469108102
65,1012606.0998622387
66,1021711.3207179153
67,1022751.571441694
68,1027946.5536997336
69,1024066.805938196
70,1025635.3936806802
71,1029457.4798855049
72,1025558.0825256787
73,1028310.2947895405
74,1028380.3215110385
75,1028442.7646881408
76,1031789.3862219867
77,1028968.9771251148
78,1026002.6426180016
79,1026423.3195663057
80,1022470.0211142265
81,1034122.066363163
82,1039620.048506004
83,1039344.4233798978
84,1030102.9069922458
85,1024809.0918273814
86,1028416.6834404645
87,1026861.2523766969
88,1027114.7877392477
89,1035049.1502092185
90,1027759.1303795069
91,1012271.5284947392
92,1011417.2018282799
93,1006962.3077456036
94,1005335.4432915153
95,999610.9375282559
96,1005092.3446377651
97,1008865.1423285066
98,1007281.6145020293
99,990222.8602170476
100,993637.8562951816
101,995553.3470809187
102,991616.8383360638
103,995210.9018879283
104,1002977.076909769
105,1004235.302486395
106,1003132.6973143675
107,1014340.086691023
108,1024425.5103786555
109,1028835.7540033442
110,1027430.8153210976
111,1031963.248531736
112,1036201.1219838697
113,1040348.7260789762
114,1054088.9180661975
115,1053948.6971793994
116,1039332.929400305
117,1039669.0342361965
118,1036227.4194493308
119,1035191.7218996258
120,1036423.170360773
121,1028988.0841624598
122,1020825.6087215301
123,1024554.2976215313
124,1021863.427737481
125,1012015.0807118277
126,1018538.0191883782
127,1009476.0626138755
128,997337.1139541268
129,999287.7873379783
130,1021366.0758108713
131,1029608.0096570001
132,1035166.190455434
133,1027120.7974188734
134,1039441.2690804398
135,1041454.6911248819
136,1044937.0401076347
137,1045457.8887484339
138,1051521.8006438133
139,1048381.257996078
140,1052562.4015317834
141,1056238.8132849017
142,1054037.3879641497
143,1058560.9073969796
144,1054418.6312605543
145,1050651.5979879838
146,1053666.8888696197
147,1053429.4519810674
148,1054344.2361093876
149,1058517.4943395313
150,1048597.3640361638
151,1061681.6855801535
152,1061031.5857611045
153,1059507.3662438781
154,1064741.3791247047
155,1063806.4045920374
156,1069112.1504791386
157,1071761.0217791991
158,1071789.3048528465
159,1060463.821420557
160,1067400.3813496686
161,1071358.6968120832
162,1068943.364900356
163,1071904.784126651
164,1076769.308245303
165,1078289.3450332882
166,1075662.2177288583
167,1068257.414830509
168,1066725.6116879443
169,1067258.1384407163
170,1079943.4881483514
171,1084209.074033416
172,1083144.7638559386
173,1071103.2594777802
174,1067134.6910429078
175,1069662.9041362868
176,1080576.107882874
177,1079275.6633027662
178,1093103.7565261982
179,1092976.4089615704
180,1102398.5946881939
181,1111588.495458433
182,1117517.9112054992
183,1124061.6183082662
184,1120684.6670688908
185,1119628.7603569822
186,1124865.1174167562
187,1114601.813229368
188,1114796.624781426
189,1113137.3651659705
190,1117605.0415772663
191,1116489.7259816593
192,1114871.0592530642
193,1113043.0339751975
194,1100683.6504596604
195,1106949.9351503458
196,1118431.1966416687
197,1114934.2214255554
198,1119532.5151643981
199,1128041.4470364107
200,1127646.4570601704
201,1111838.7182017772
202,1085790.0579666211
203,1091943.914118606
204,1087723.850638325
205,1073310.7588006395
206,1080799.085067822
207,1073256.7878218163
208,1054835.999891557
209,1058884.8798467645
210,1056683.8180082531
211,1072394.383890401
212,1086956.2242764875
213,1092135.268607492
214,1105289.7489131822
215,1103320.406400508
216,1106078.7944505394
217,1111601.3331483426
218,1111493.4865372276
219,1103912.3243586044
220,1109318.5180878157
221,1105449.261736912
222,1112134.531656411
223,1105819.349968152
224,1107304.5841366062
225,1114065.3297489095
226,1117804.7330381721
227,1109761.3526091138
228,1126733.54355487
229,1122738.3358871187
230,1129370.430243373
231,1127798.9417645654
232,1124482.5403605828
233,1121130.695869671
234,1118665.742409262
235,1100628.9582771666
236,1098746.811589673
237,1109004.4069062204
238,1113027.8048314236
239,1104982.4067266257
240,1112253.5645117476
241,1112773.2717290227
242,1113021.0748826724
243,1122802.6343734013
244,1112711.8419513728
245,1109860.6617800351
246,1117062.8946254966
247,1119701.9944510262
248,1134908.790030768
249,1140188.2046066467
250,1140590.3579713649
251,1126705.3370980183
252,1109540.1156857559
253,1109941.348656524
254,1128084.058389865
255,1103727.0951920068
256,1093106.8831923073
257,1104912.379593905
258,1107610.8182261875
259,1119041.917583806
260,1121970.9715076915
261,1125522.6219072444
262,1129454.5170549813
263,1133487.1673594974
264,1149739.591606734
265,1143931.5788997249
266,1145595.4019001503
267,1155258.8690937792
268,1156507.0307906826
269,1150703.900065114
270,1153382.0926392016
271,1160963.8091037076
272,1150337.6084821206
273,1156803.2951729344
274,1157924.239831483
275,1159264.5532958517
276,1171333.87124005
277,1173197.9536669839
278,1168689.192951109
279,1158784.347863683
280,1163519.730103341
281,1167152.6253167402
282,1149085.1373475557
283,1160154.4191531162
284,1163133.863987603
285,1171366.0632373833
286,1186580.8552110682
287,1183186.7038097964
288,1190356.9112461605
289,1187211.296829809
290,1192206.4290650485
291,1196013.4572203108
292,1196406.0931478573
293,1211345.9331070916
294,1225037.8686696824
295,1231525.9008072843
296,1232596.599072494
297,1223389.596216369
298,1209825.425773688
299,1209080.9701039079
300,1210211.8328342391
301,1210603.5297712607
302,1217490.8357265927
303,1216070.236355032
304,1219751.0234999415
305,1215909.6987369508
306,1204030.7533870144
307,1203051.044864615
308,1203988.7953553589
309,1209988.688081036
310,1210280.5422116865
311,1217169.0255350256
312,1216606.9157616198
313,1226192.2031652986
314,1226998.7189534318
315,1216448.5575706884
316,1220655.228672154
317,1216170.1586388974
318,1219742.0615112493
319,1225447.6074855663
320,1221862.0780159393
321,1223561.728380834
322,1204018.7356869853
323,1215594.8767883389
324,1212525.853104737
325,1218948.249221862
326,1216295.8135701444
327,1205429.5807333644
328,1198818.0094835255
329,1199834.9660872067
330,1196818.28064119
331,1189498.1963430906
332,1159119.4078778634
333,1151213.12946847
334,1155768.1207284215
335,1149664.2508807664
336,1147255.3344288836
337,1146298.1443418695
338,1159582.4617205209
339,1162925.7225987916
340,1162073.8213907594
341,1170815.8246702226
342,1172450.2199859112
343,1168786.354908725
344,1179551.1542905355
345,1189592.0401197523
346,1194741.217484428
347,1199396.0098604655
348,1196945.7157663775
349,1203926.669610857
350,1201974.894081429
351,1205574.3165888442
352,1203748.8829226997
353,1208368.4677319808
354,1207170.0537899204
355,1199243.5884538568
356,1194566.3311711468
357,1195710.9961858632
358,1191594.6827627248
359,1183199.044016795
360,1187893.803368257
361,1187508.3633750186
362,1181169.113160924
363,1179865.5581937006
364,1185118.7770983486
365,1188451.6628928434
366,1194881.407085556
367,1187807.1415815058
368,1177942.3736881262
369,1173452.4795407215
370,1177261.4292430473
371,1153011.8672798406
372,1171999.1170201688
373,1166633.7374059015
374,1161630.5125497503
375,1141226.6916976306
376,1141654.4922400212
377,1150407.1706741056
378,1150811.9032106495
379,1127516.6257401356
380,1150354.9992442338
381,1129059.2771313637
382,1119584.2713250406
383,1098380.216989647
384,1098694.8764418524
385,1083578.6730947332
386,1079091.3195467314
387,1103452.9109480972
388,1114002.958494904
389,1138473.2372389873
390,1121370.6681600737
391,1146831.797630717
392,1153188.054144117
393,1150909.454396899
394,1171230.5438774724
395,1171679.4843043673
396,1174190.131651937
397,1189369.2912119124
398,1194124.2878111592
399,1191028.3202537142
400,1199138.6157763803
401,1198218.55845482
402,1204006.8738154285
403,1205004.783652835
404,1204146.2676080153
405,1206945.8816911774
406,1206340.430702752
407,1208791.4450791136
408,1205163.6103179096
409,1214014.9978091517
410,1211397.0576149204
411,1217207.593266125
412,1225073.830291759
413,1235100.6879011663
414,1235766.9408513638
415,1238725.8118419123
416,1234390.935687165
417,1220114.7210554474
418,1225988.8594821738
419,1219290.0669824285
420,1219433.2074343024
421,1222493.306188708
422,1212058.8545182743
423,1214595.5373785258
424,1194015.9213474297
425,1193846.1917401184
426,1168352.0214123065
427,1158094.256849533
428,1145496.5532958333
429,1169075.0081948577
430,1199818.9676007414
431,1198673.9551509444
432,1209156.6747966465
433,1213522.8802613262
434,1215034.4390319234
435,1222421.745099733
436,1221716.7246498982
437,1215776.8660404717
438,1198566.7116873218
439,1196346.1239848414
440,1161702.61853206
441,1147350.3699162588
442,1165513.156656387
443,1188029.2706149165
444,1178191.2064313532
445,1163783.6350797536
446,1163079.5186769424
447,1147081.6971486546
448,1128778.0457692556
449,1129951.9660862738
450,1143702.3433899756
451,1151153.47519765
452,1146092.4897757366
453,1141434.4008138117
454,1137253.1114343568
455,1106280.1835668436
456,1119734.1830245156
457,1136542.0779536811
458,1120587.24776634
459,1136358.8053171712
460,1155112.94135992
461,1151429.7481470709
462,1165299.7337332023
463,1163493.1081764265
464,1167594.547621961
465,1178219.750546413
466,1183710.2208556081
467,1160138.8148589327
468,1152267.450900117
469,1160704.4988499458
470,1166989.9754916572
471,1156848.3635186385
472,1173325.7522979015
473,1180884.828054852
474,1184693.6977989108
475,1184673.4558850834
476,1192277.652805085
477,1174535.5098644388
478,1181700.601044486
479,1180665.387526449
480,1167754.668829781
481,1164696.2135482656
482,1154734.4870075597
483,1160579.6881873985
484,1140190.37074977
485,1135002.6213314307
486,1154882.9967048962
487,1143753.6274308416
488,1156317.5811349438
489,1155436.7634144023
490,1171699.4030412585
491,1162964.3784936536
492,1171215.2189916898
493,1169748.8164817418
494,1160423.1386218548
495,1141236.9122274574
496,1132307.6409605276
497,1127631.9818168315
498,1141733.7528115863
499,1132666.665273655
500,1135833.0713325052
501,1144463.0670802773
502,1151957.588260354
503,1140599.2662150394
504,1141447.4721579582
505,1147644.1848002097
506,1155558.230924541
507,1151423.5581699358
